AEU,Panel,posPanel,fail_Nov,rep_bef_nov,rep_aft_nov
1,R01-C1,1,0,1,0
2,R01-C1,2,1,1,0
3,R01-C1,3,0,1,0
4,R01-C1,4,1,0,0
5,R01-C1,5,0,0,0
6,R01-C1,6,0,0,0
7,R01-C1,7,0,0,0
8,R01-C1,8,0,0,0
9,R01-C1,9,0,0,1
10,R01-C1,10,0,0,0
11,R01-C1,11,0,0,1
12,R01-C1,12,0,0,0
13,R01-C1,13,0,0,0
14,R01-C1,14,0,0,0
15,R01-C1,15,0,0,0
16,R01-C1,16,0,0,0
17,R01-C1,17,0,0,0
18,R01-C1,18,0,0,1
19,R01-C1,19,1,0,0
20,R01-C1,20,0,0,0
21,R01-C1,21,0,0,0
22,R01-C1,22,0,0,0
23,R01-C1,23,1,0,1
24,R01-C1,24,0,0,0
25,R01-C1,25,0,0,0
26,R01-C1,26,0,0,0
27,R01-C1,27,0,0,0
28,R01-C1,28,0,0,0
29,R01-C1,29,1,0,0
30,R01-C1,30,0,0,0
31,R01-C1,31,0,0,0
32,R01-C1,32,1,0,1
33,R02-C1,1,0,0,0
34,R02-C1,2,0,0,0
35,R02-C1,3,0,0,0
36,R02-C1,4,0,0,0
37,R02-C1,5,0,0,0
38,R02-C1,6,0,0,0
39,R02-C1,7,0,0,0
40,R02-C1,8,0,0,0
41,R02-C1,9,0,0,0
42,R02-C1,10,0,0,0
43,R02-C1,11,0,0,0
44,R02-C1,12,1,0,0
45,R02-C1,13,0,0,0
46,R02-C1,14,0,0,0
47,R02-C1,15,0,0,0
48,R02-C1,16,0,0,0
49,R02-C1,17,0,0,0
50,R02-C1,18,0,0,0
51,R02-C1,19,0,0,0
52,R02-C1,20,0,0,1
53,R02-C1,21,0,0,0
54,R02-C1,22,0,0,0
55,R02-C1,23,0,0,0
56,R02-C1,24,0,0,0
57,R02-C1,25,1,0,0
58,R02-C1,26,0,0,1
59,R02-C1,27,0,0,0
60,R02-C1,28,0,0,0
61,R02-C1,29,0,0,1
62,R02-C1,30,0,0,0
63,R02-C1,31,0,0,0
64,R02-C1,32,0,0,0
65,R03-C1,1,0,0,0
66,R03-C1,2,1,0,1
67,R03-C1,3,1,0,0
68,R03-C1,4,0,0,0
69,R03-C1,5,1,0,1
70,R03-C1,6,0,0,0
71,R03-C1,7,0,0,1
72,R03-C1,8,0,0,0
73,R03-C1,9,1,0,0
74,R03-C1,10,1,0,1
75,R03-C1,11,0,0,0
76,R03-C1,12,1,0,1
77,R03-C1,13,0,0,0
78,R03-C1,14,1,0,1
79,R03-C1,15,0,0,1
80,R03-C1,16,0,0,0
81,R03-C1,17,1,0,1
82,R03-C1,18,0,0,0
83,R03-C1,19,0,0,1
84,R03-C1,20,0,0,0
85,R03-C1,21,1,0,0
86,R03-C1,22,0,0,0
87,R03-C1,23,0,0,0
88,R03-C1,24,1,1,1
89,R03-C1,25,0,0,1
90,R03-C1,26,0,0,0
91,R03-C1,27,1,0,1
92,R03-C1,28,0,0,0
93,R03-C1,29,1,0,0
94,R03-C1,30,0,0,0
95,R03-C1,31,1,0,1
96,R03-C1,32,1,0,1
97,R04-C1,1,1,0,1
98,R04-C1,2,1,1,1
99,R04-C1,3,1,0,1
100,R04-C1,4,0,0,0
101,R04-C1,5,1,1,1
102,R04-C1,6,0,1,0
103,R04-C1,7,0,0,0
104,R04-C1,8,1,1,1
105,R04-C1,9,0,0,0
106,R04-C1,10,1,0,1
107,R04-C1,11,1,0,1
108,R04-C1,12,0,0,0
109,R04-C1,13,0,0,0
110,R04-C1,14,0,1,1
111,R04-C1,15,1,0,0
112,R04-C1,16,0,0,0
113,R04-C1,17,1,0,1
114,R04-C1,18,0,0,0
115,R04-C1,19,0,0,0
116,R04-C1,20,0,1,0
117,R04-C1,21,0,0,0
118,R04-C1,22,0,1,1
119,R04-C1,23,1,1,1
120,R04-C1,24,0,0,0
121,R04-C1,25,0,1,1
122,R04-C1,26,1,1,1
123,R04-C1,27,0,0,0
124,R04-C1,28,0,0,0
125,R04-C1,29,0,0,1
126,R04-C1,30,0,1,0
127,R04-C1,31,0,1,0
128,R04-C1,32,1,1,1
129,R05-C1,1,0,0,0
130,R05-C1,2,0,0,0
131,R05-C1,3,1,0,1
132,R05-C1,4,1,0,1
133,R05-C1,5,0,1,0
134,R05-C1,6,0,1,0
135,R05-C1,7,0,0,0
136,R05-C1,8,0,0,0
137,R05-C1,9,0,0,0
138,R05-C1,10,1,1,1
139,R05-C1,11,1,0,1
140,R05-C1,12,0,1,0
141,R05-C1,13,0,0,0
142,R05-C1,14,1,0,1
143,R05-C1,15,1,0,1
144,R05-C1,16,0,0,0
145,R05-C1,17,0,0,0
146,R05-C1,18,0,0,0
147,R05-C1,19,1,0,1
148,R05-C1,20,1,0,1
149,R05-C1,21,0,0,0
150,R05-C1,22,0,0,0
151,R05-C1,23,0,0,0
152,R05-C1,24,0,0,0
153,R05-C1,25,1,0,1
154,R05-C1,26,0,0,0
155,R05-C1,27,0,0,0
156,R05-C1,28,0,0,0
157,R05-C1,29,0,1,0
158,R05-C1,30,0,0,0
159,R05-C1,31,1,0,1
160,R05-C1,32,0,0,0
161,R06-C1,1,0,0,0
162,R06-C1,2,0,0,0
163,R06-C1,3,0,0,0
164,R06-C1,4,0,0,0
165,R06-C1,5,0,0,0
166,R06-C1,6,0,0,0
167,R06-C1,7,0,0,0
168,R06-C1,8,0,0,0
169,R06-C1,9,0,0,0
170,R06-C1,10,0,0,0
171,R06-C1,11,0,0,0
172,R06-C1,12,0,1,0
173,R06-C1,13,1,0,0
174,R06-C1,14,0,0,0
175,R06-C1,15,0,0,0
176,R06-C1,16,0,1,0
177,R06-C1,17,0,1,0
178,R06-C1,18,0,0,0
179,R06-C1,19,1,0,0
180,R06-C1,20,1,1,0
181,R06-C1,21,0,0,0
182,R06-C1,22,0,0,0
183,R06-C1,23,1,0,1
184,R06-C1,24,1,0,0
185,R06-C1,25,0,0,0
186,R06-C1,26,1,0,1
187,R06-C1,27,1,0,1
188,R06-C1,28,0,0,1
189,R06-C1,29,0,1,1
190,R06-C1,30,0,1,0
191,R06-C1,31,1,0,0
192,R06-C1,32,0,1,0
193,R07-C1,1,0,0,0
194,R07-C1,2,0,1,0
195,R07-C1,3,0,0,0
196,R07-C1,4,0,0,0
197,R07-C1,5,0,0,0
198,R07-C1,6,0,0,0
199,R07-C1,7,1,1,0
200,R07-C1,8,1,1,1
201,R07-C1,9,0,1,0
202,R07-C1,10,0,0,0
203,R07-C1,11,1,1,1
204,R07-C1,12,0,1,0
205,R07-C1,13,0,0,0
206,R07-C1,14,1,1,1
207,R07-C1,15,0,0,0
208,R07-C1,16,0,1,0
209,R07-C1,17,0,1,0
210,R07-C1,18,0,0,0
211,R07-C1,19,0,0,0
212,R07-C1,20,0,1,0
213,R07-C1,21,0,0,0
214,R07-C1,22,0,1,0
215,R07-C1,23,0,1,0
216,R07-C1,24,0,1,0
217,R07-C1,25,0,0,0
218,R07-C1,26,0,0,0
219,R07-C1,27,1,0,1
220,R07-C1,28,1,0,1
221,R07-C1,29,1,0,1
222,R07-C1,30,1,0,1
223,R07-C1,31,0,0,0
224,R07-C1,32,0,1,0
225,R01-C2,1,0,0,0
226,R01-C2,2,0,0,1
227,R01-C2,3,0,0,0
228,R01-C2,4,0,0,0
229,R01-C2,5,0,0,0
230,R01-C2,6,0,0,0
231,R01-C2,7,0,0,0
232,R01-C2,8,0,0,0
233,R01-C2,9,0,0,1
234,R01-C2,10,0,0,0
235,R01-C2,11,1,0,1
236,R01-C2,12,0,0,0
237,R01-C2,13,0,0,0
238,R01-C2,14,1,0,1
239,R01-C2,15,0,0,0
240,R01-C2,16,1,0,1
241,R01-C2,17,1,0,1
242,R01-C2,18,0,0,0
243,R01-C2,19,0,0,0
244,R01-C2,20,0,0,0
245,R01-C2,21,1,0,1
246,R01-C2,22,1,0,1
247,R01-C2,23,0,0,0
248,R01-C2,24,1,0,1
249,R01-C2,25,0,0,0
250,R01-C2,26,0,0,0
251,R01-C2,27,0,0,0
252,R01-C2,28,0,0,1
253,R01-C2,29,0,0,0
254,R01-C2,30,0,0,0
255,R01-C2,31,0,0,1
256,R01-C2,32,0,0,0
257,R02-C2,1,0,0,0
258,R02-C2,2,0,0,1
259,R02-C2,3,1,0,1
260,R02-C2,4,1,0,0
261,R02-C2,5,1,0,1
262,R02-C2,6,0,0,1
263,R02-C2,7,0,0,0
264,R02-C2,8,0,0,0
265,R02-C2,9,0,0,0
266,R02-C2,10,0,0,0
267,R02-C2,11,1,0,1
268,R02-C2,12,1,0,1
269,R02-C2,13,0,1,0
270,R02-C2,14,0,1,0
271,R02-C2,15,1,0,1
272,R02-C2,16,0,1,1
273,R02-C2,17,1,0,1
274,R02-C2,18,1,0,1
275,R02-C2,19,0,0,0
276,R02-C2,20,0,0,1
277,R02-C2,21,0,1,0
278,R02-C2,22,1,0,1
279,R02-C2,23,0,0,0
280,R02-C2,24,0,1,0
281,R02-C2,25,1,1,1
282,R02-C2,26,0,1,1
283,R02-C2,27,0,0,0
284,R02-C2,28,0,0,0
285,R02-C2,29,0,1,0
286,R02-C2,30,1,0,1
287,R02-C2,31,1,1,1
288,R02-C2,32,1,0,1
289,R03-C2,1,0,0,0
290,R03-C2,2,0,0,1
291,R03-C2,3,0,0,0
292,R03-C2,4,0,0,0
293,R03-C2,5,1,0,1
294,R03-C2,6,0,0,0
295,R03-C2,7,0,0,0
296,R03-C2,8,0,0,0
297,R03-C2,9,1,0,1
298,R03-C2,10,0,0,0
299,R03-C2,11,1,0,1
300,R03-C2,12,1,0,1
301,R03-C2,13,1,0,1
302,R03-C2,14,0,0,0
303,R03-C2,15,1,0,1
304,R03-C2,16,0,0,0
305,R03-C2,17,0,0,0
306,R03-C2,18,0,0,0
307,R03-C2,19,0,0,0
308,R03-C2,20,0,0,0
309,R03-C2,21,0,0,0
310,R03-C2,22,0,0,0
311,R03-C2,23,0,0,0
312,R03-C2,24,0,0,0
313,R03-C2,25,0,0,1
314,R03-C2,26,1,0,0
315,R03-C2,27,1,0,1
316,R03-C2,28,1,0,0
317,R03-C2,29,1,0,1
318,R03-C2,30,0,0,0
319,R03-C2,31,0,0,1
320,R03-C2,32,0,0,0
321,R04-C2,1,1,0,1
322,R04-C2,2,0,1,0
323,R04-C2,3,0,0,0
324,R04-C2,4,1,0,1
325,R04-C2,5,1,0,1
326,R04-C2,6,0,1,0
327,R04-C2,7,0,0,0
328,R04-C2,8,1,0,1
329,R04-C2,9,0,0,1
330,R04-C2,10,0,0,1
331,R04-C2,11,0,0,0
332,R04-C2,12,0,0,0
333,R04-C2,13,1,1,1
334,R04-C2,14,1,0,1
335,R04-C2,15,0,1,0
336,R04-C2,16,1,1,1
337,R04-C2,17,0,0,1
338,R04-C2,18,0,0,1
339,R04-C2,19,0,0,1
340,R04-C2,20,1,0,1
341,R04-C2,21,1,0,1
342,R04-C2,22,1,0,1
343,R04-C2,23,1,1,1
344,R04-C2,24,0,0,0
345,R04-C2,25,0,0,0
346,R04-C2,26,0,0,0
347,R04-C2,27,1,1,1
348,R04-C2,28,0,0,0
349,R04-C2,29,0,1,0
350,R04-C2,30,0,0,0
351,R04-C2,31,0,0,0
352,R04-C2,32,0,0,0
353,R05-C2,1,0,0,0
354,R05-C2,2,0,0,0
355,R05-C2,3,0,0,0
356,R05-C2,4,0,0,0
357,R05-C2,5,0,0,0
358,R05-C2,6,0,0,0
359,R05-C2,7,0,0,0
360,R05-C2,8,0,0,0
361,R05-C2,9,0,0,1
362,R05-C2,10,0,0,0
363,R05-C2,11,0,0,0
364,R05-C2,12,0,0,0
365,R05-C2,13,0,0,0
366,R05-C2,14,0,0,0
367,R05-C2,15,0,0,0
368,R05-C2,16,0,0,0
369,R05-C2,17,0,0,0
370,R05-C2,18,0,0,0
371,R05-C2,19,0,0,0
372,R05-C2,20,0,0,0
373,R05-C2,21,0,0,1
374,R05-C2,22,0,0,0
375,R05-C2,23,0,0,0
376,R05-C2,24,1,0,0
377,R05-C2,25,0,0,0
378,R05-C2,26,0,0,0
379,R05-C2,27,0,0,0
380,R05-C2,28,0,0,0
381,R05-C2,29,0,0,0
382,R05-C2,30,0,0,0
383,R05-C2,31,0,0,0
384,R05-C2,32,0,0,0
385,R06-C2,1,0,0,0
386,R06-C2,2,1,0,1
387,R06-C2,3,0,0,0
388,R06-C2,4,0,0,0
389,R06-C2,5,0,0,1
390,R06-C2,6,0,0,0
391,R06-C2,7,0,0,0
392,R06-C2,8,1,1,0
393,R06-C2,9,0,0,0
394,R06-C2,10,0,1,0
395,R06-C2,11,0,1,0
396,R06-C2,12,1,0,1
397,R06-C2,13,0,0,0
398,R06-C2,14,0,1,0
399,R06-C2,15,0,0,0
400,R06-C2,16,1,0,1
401,R06-C2,17,1,0,1
402,R06-C2,18,1,0,1
403,R06-C2,19,0,1,0
404,R06-C2,20,0,0,1
405,R06-C2,21,1,1,0
406,R06-C2,22,1,0,1
407,R06-C2,23,1,0,1
408,R06-C2,24,1,0,1
409,R06-C2,25,0,1,0
410,R06-C2,26,0,1,0
411,R06-C2,27,0,0,1
412,R06-C2,28,0,0,1
413,R06-C2,29,0,0,1
414,R06-C2,30,0,0,0
415,R06-C2,31,0,1,0
416,R06-C2,32,1,0,1
417,R07-C2,1,1,1,1
418,R07-C2,2,1,1,1
419,R07-C2,3,0,0,0
420,R07-C2,4,1,1,1
421,R07-C2,5,0,0,0
422,R07-C2,6,0,0,0
423,R07-C2,7,0,0,0
424,R07-C2,8,0,0,0
425,R07-C2,9,1,1,1
426,R07-C2,10,0,1,0
427,R07-C2,11,0,1,1
428,R07-C2,12,1,1,1
429,R07-C2,13,0,1,0
430,R07-C2,14,0,0,0
431,R07-C2,15,0,0,0
432,R07-C2,16,0,0,0
433,R07-C2,17,1,1,1
434,R07-C2,18,0,0,0
435,R07-C2,19,0,0,0
436,R07-C2,20,0,0,0
437,R07-C2,21,0,1,0
438,R07-C2,22,0,0,0
439,R07-C2,23,0,0,0
440,R07-C2,24,0,0,0
441,R07-C2,25,0,1,1
442,R07-C2,26,0,1,0
443,R07-C2,27,1,1,1
444,R07-C2,28,0,0,0
445,R07-C2,29,0,0,0
446,R07-C2,30,0,0,1
447,R07-C2,31,0,0,0
448,R07-C2,32,0,0,0
